datetime,Device,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
14/07/18 16:38:01,dm-2,0.0,0.0,1193.0,0.0,9544.0,0.0,16.0,0.52,0.43,0.43,0.0,0.35,41.3
14/07/18 16:38:02,dm-2,0.0,0.0,1637.0,0.0,13088.0,0.0,15.99,0.69,0.42,0.42,0.0,0.33,54.0
14/07/18 16:38:03,dm-2,0.0,0.0,2335.0,0.0,18680.0,0.0,16.0,0.94,0.4,0.4,0.0,0.3,70.3
14/07/18 16:38:04,dm-2,0.0,0.0,1301.0,0.0,10400.0,0.0,15.99,0.47,0.36,0.36,0.0,0.31,40.9
14/07/18 16:38:05,dm-2,0.0,0.0,2104.0,0.0,16824.0,0.0,15.99,0.79,0.37,0.37,0.0,0.28,57.9
14/07/18 16:38:06,dm-2,0.0,0.0,1126.0,0.0,8992.0,0.0,15.97,0.45,0.4,0.4,0.0,0.33,37.4
14/07/18 16:38:07,dm-2,0.0,0.0,1236.0,2394.0,9888.0,29120.0,21.49,2.86,0.78,0.42,0.96,0.12,45.1
14/07/18 16:38:08,dm-2,0.0,0.0,1092.0,0.0,8736.0,0.0,16.0,0.42,0.39,0.39,0.0,0.32,35.1
14/07/18 16:38:09,dm-2,0.0,0.0,2762.0,0.0,22096.0,0.0,16.0,0.95,0.34,0.34,0.0,0.21,59.2
14/07/18 16:38:10,dm-2,0.0,0.0,2306.0,0.0,18448.0,0.0,16.0,0.82,0.36,0.36,0.0,0.24,55.5
14/07/18 16:38:11,dm-2,0.0,0.0,1305.0,0.0,10432.0,0.0,15.99,0.5,0.38,0.38,0.0,0.32,42.3
14/07/18 16:38:12,dm-2,0.0,0.0,1913.0,0.0,15304.0,0.0,16.0,0.73,0.38,0.38,0.0,0.28,52.7
14/07/18 16:38:13,dm-2,0.0,0.0,823.0,0.0,6584.0,0.0,16.0,0.35,0.42,0.42,0.0,0.36,29.4
14/07/18 16:38:14,dm-2,0.0,0.0,1326.0,0.0,10608.0,0.0,16.0,0.5,0.37,0.37,0.0,0.31,41.7
14/07/18 16:38:15,dm-2,0.0,0.0,1701.0,0.0,13600.0,0.0,15.99,0.65,0.38,0.38,0.0,0.29,49.9
14/07/18 16:38:16,dm-2,0.0,0.0,746.0,0.0,5968.0,0.0,16.0,0.33,0.44,0.44,0.0,0.4,29.5
14/07/18 16:38:17,dm-2,0.0,0.0,731.0,0.0,5840.0,0.0,15.98,0.32,0.45,0.45,0.0,0.38,27.8
14/07/18 16:38:18,dm-2,0.0,0.0,891.0,0.0,7128.0,0.0,16.0,0.35,0.39,0.39,0.0,0.33,29.7
14/07/18 16:38:19,dm-2,0.0,0.0,1287.0,0.0,10296.0,0.0,16.0,0.52,0.4,0.4,0.0,0.32,41.1
14/07/18 16:38:20,dm-2,0.0,0.0,1817.0,0.0,14536.0,0.0,16.0,0.65,0.36,0.36,0.0,0.31,57.2
14/07/18 16:38:21,dm-2,0.0,0.0,490.0,0.0,3920.0,0.0,16.0,0.21,0.43,0.43,0.0,0.39,19.3
14/07/18 16:38:22,dm-2,0.0,0.0,1195.0,0.0,9560.0,0.0,16.0,0.47,0.4,0.4,0.0,0.32,38.6
14/07/18 16:38:23,dm-2,0.0,0.0,430.0,0.0,3440.0,0.0,16.0,0.17,0.4,0.4,0.0,0.37,15.8
14/07/18 16:38:24,dm-2,0.0,0.0,924.0,15.0,7384.0,256.0,16.27,0.38,0.4,0.4,0.73,0.33,31.2
14/07/18 16:38:25,dm-2,0.0,0.0,2372.0,0.0,18960.0,0.0,15.99,0.94,0.4,0.4,0.0,0.26,61.2
14/07/18 16:38:26,dm-2,0.0,0.0,1800.0,0.0,14384.16,0.0,15.98,0.67,0.37,0.37,0.0,0.3,53.56
14/07/18 16:38:27,dm-2,0.0,0.0,961.0,0.0,7672.0,0.0,15.97,0.41,0.42,0.42,0.0,0.35,34.0
14/07/18 16:38:28,dm-2,0.0,0.0,1012.0,0.0,8088.0,0.0,15.98,0.38,0.37,0.37,0.0,0.31,31.2
14/07/18 16:38:29,dm-2,0.0,0.0,1699.0,0.0,13584.0,0.0,15.99,0.63,0.37,0.37,0.0,0.3,50.2
14/07/18 16:38:30,dm-2,0.0,0.0,825.0,0.0,6592.0,0.0,15.98,0.33,0.4,0.4,0.0,0.35,29.1
14/07/18 16:38:31,dm-2,0.0,0.0,504.0,0.0,4024.0,0.0,15.97,0.24,0.47,0.47,0.0,0.41,20.5
14/07/18 16:38:32,dm-2,0.0,0.0,564.0,0.0,4512.0,0.0,16.0,0.26,0.45,0.45,0.0,0.4,22.8
