datetime,Glorefs,RemGrefs,GRratio,PhyRds,Rdratio,Gloupds,RemGupds,Rourefs,RemRrefs,RouLaS,RemRLaS,PhyWrs,WDQsz,WDtmpq,WDphase,WIJwri,RouCMs,Jrnwrts,ActECP,Addblk,PrgBufL,PrgSrvR,BytSnt,BytRcd,WDpass,IJUcnt,IJULock,PPGrefs,PPGupds
07/14/2018 16:37:49,1514191,0,0,893,1045.5,102304,0,539219,0,18,0,0,3707,34529,0,0,64,5,0,0,0,0,0,0,289,0,0,173530,63921
07/14/2018 16:37:50,857218,0,0,721,832.45,77917,0,422754,0,0,0,0,3727,34645,0,0,56,4,0,0,0,0,0,0,289,0,0,97628,45405
07/14/2018 16:37:51,1205345,0,0,1037,718.76,82440,0,521975,0,19,0,0,3762,34793,0,0,97,6,0,0,0,0,0,0,289,0,0,114199,48691
07/14/2018 16:37:52,1397782,0,0,1806,438.66,96236,0,460536,0,0,0,0,3778,34946,0,0,96,5,0,0,0,0,0,0,289,0,0,128629,55181
07/14/2018 16:37:53,1559365,0,0,1836,527.61,110786,0,482419,0,0,0,0,3807,35059,0,0,82,6,0,0,0,0,0,0,289,0,0,220186,75419
07/14/2018 16:37:54,987433,0,0,1598,357.51,81856,0,402958,0,0,0,0,3841,35169,0,0,134,5,0,0,0,0,0,0,289,0,0,100462,47272
07/14/2018 16:37:55,916283,0,0,1422,497.76,85690,0,458086,0,0,0,0,3854,35312,0,0,81,4,0,0,0,0,0,0,289,0,0,95036,45572
07/14/2018 16:37:56,1290458,0,0,2058,278.29,61211,0,397071,0,2,0,0,3875,35414,0,0,98,4,0,0,0,0,0,0,289,0,0,74920,30326
07/14/2018 16:37:57,1107870,0,0,1242,453.22,68590,0,430441,0,19,0,0,3906,35514,0,0,76,5,0,0,0,0,0,0,289,0,0,82313,37535
07/14/2018 16:37:58,1006280,0,0,1693,417.04,79867,0,515139,0,0,0,0,3929,35640,0,0,60,4,0,0,0,0,0,0,289,0,0,101892,41226
07/14/2018 16:37:59,1092637,0,0,1413,418.38,98834,0,385080,0,0,0,0,3947,35707,0,0,59,5,0,0,0,0,0,0,289,0,0,171119,70056
07/14/2018 16:38:00,1378222,0,0,1101,787.61,94052,0,411180,0,0,0,0,3972,35809,0,0,95,5,0,0,0,0,0,0,289,0,0,151427,57813
07/14/2018 16:38:01,1669356,0,0,1337,669.25,122048,0,524619,0,18,0,0,4058,35946,0,0,99,6,0,0,0,0,0,0,289,0,0,194469,78937
07/14/2018 16:38:02,1212338,0,0,1511,469.57,94788,0,412455,0,21,0,0,4086,36030,0,0,141,5,0,0,0,0,0,0,289,0,0,162405,64495
07/14/2018 16:38:03,1257356,0,0,2225,312.19,83422,0,450509,0,0,0,0,4107,36176,0,0,115,6,0,0,0,0,0,0,289,0,0,97941,41390
07/14/2018 16:38:04,1146413,0,0,1302,433.74,76519,0,450696,0,0,0,0,4132,36267,0,0,80,4,0,0,0,0,0,0,289,0,0,88024,42610
07/14/2018 16:38:05,1286273,0,0,2214,304.3,76366,0,418743,0,0,0,0,4141,36390,0,0,102,4,0,0,0,0,0,0,289,0,0,93169,43622
07/14/2018 16:38:06,1292694,0,0,1001,765.39,91290,0,487555,0,0,0,0,4161,36539,0,0,74,5,0,0,0,0,0,0,289,0,0,104791,45896
07/14/2018 16:38:07,1500665,0,0,1364,496.45,116500,0,332452,0,45,0,4169,551,36636,0,138,103,6,0,0,0,0,0,0,290,0,0,219640,80191
07/14/2018 16:38:08,1309486,0,0,990,795.41,124302,0,382387,0,18,0,0,733,36703,0,0,91,5,0,0,0,0,0,0,290,0,0,244399,88804
07/14/2018 16:38:09,799103,0,0,2803,206.16,70073,0,399160,0,0,0,0,843,36803,0,0,82,5,0,0,0,0,0,0,290,0,0,81902,37121
07/14/2018 16:38:10,1050905,0,0,2322,274.95,89327,0,447192,0,18,0,0,996,36943,0,0,115,7,0,0,0,0,0,0,290,0,0,105781,43130
